year,course_code,name,teacher,faculty,term,schedule,classroom,summary_excerpt,p_key
2026,CMFC381S,ゼミナールII（異文化コミュニケーション研究／秋学期）,花光　里香,社学,秋学期,水２時限,教室未定,春学期で学んだことを更に深め、異文化に対する気づきを研ぎ澄ますと共に、身の......,1800001230012026180000123018
2026,LNGI381S,ゼミナールII（メディアと言語の研究／秋学期）,笹原　宏之,社学,秋学期,月５時限,教室未定,マスメディアからパーソナルメディアまで、私たちは様々な媒体で、情報を交換......,1800001232012026180000123218
2026,POLX321S,ゼミナールII（政治思想研究／秋学期）,千葉　清史,社学,秋学期,火３時限,教室未定,今年度は厚見先生がサバティカルをとられているので、代理で千葉が担当しま......,1800001242012026180000124218
2026,INTA381S,ゼミナールII（国際関係研究／秋学期）,奥迫　元,社学,秋学期,火４時限,教室未定,ゼミナールII・IIIは、原則として、ゼミナールI最終時に各自が提示した自らの......,1800001246012026180000124618
2026,LAWB311S,ゼミナールII（契約法研究／秋学期）,吉田　和夫,社学,秋学期,火３時限,教室未定,ゼミナールＩで学んだ民法全般の知識を前提に、主に契約にかかわる様々な法律......,1800001256012026180000125618
2026,LAWG311S,ゼミナールII（Study of Environmental Law／秋学期）,黒川　哲志,社学,秋学期,水４時限,教室未定,This course is conducted inJapanese as well asEnglish.　教員は日本語80%英......,1800001260012026180000126018
2026,LAWE311S,ゼミナールII（国際経済法研究／秋学期）,福永　有夏,社学,秋学期,水５時限,教室未定,3年次には、任意の国際経済法上の問題について、主体的に調査し、日本語又は英......,1800001262012026180000126218
2026,LAWG351S,ゼミナールII（医療と法／秋学期）,横野　恵,社学,秋学期,月２時限,教室未定,終末期医療や生殖補助医療等の医療をめぐる問題が提起されるたびに、それに関......,1800001264012026180000126418
2026,ECNA301S,ゼミナールII（Economic Analysis of the World Economy／秋学期）,弦間　正彦,社学,秋学期,月４時限,教室未定,"Dependent on the COVID-19 situation and works we do, we will occasionally ......",1800001266012026180000126618
2026,ECNA301S,ゼミナールII（経済と環境の実証分析／秋学期）,中島　隆信,社学,秋学期,月３時限,教室未定,ゼミナールII・ゼミナールIIIでは、各自の選んだ研究テーマに従い、研究を進め......,1800001272012026180000127218
2026,ECNA391S,ゼミナールII（情報産業の経済分析／秋学期）,土門　晃二,社学,秋学期,水４時限,教室未定,情報一般に関する入門的な本を輪読していきます。前提知識なしでも、楽しめるよ......,1800001274012026180000127418
2026,ECNE301S,ゼミナールII（ゲーム理論とその応用／秋学期）,戸田　学,社学,秋学期,火５時限,教室未定,最近、経済学や経営学の様々な分野においてゲーム理論が応用される機会が増えて......,1800001278012026180000127818
2026,MANX341S,ゼミナールII（多国籍企業の研究／秋学期）,長谷川　信次,社学,秋学期,水４時限,教室未定,（１）春学期に引き続いて、グループごとに設定した研究課題について調査・研究......,1800001292012026180000129218
2026,CMMC301S GSSC301S,ゼミナールII（企業財務論研究／秋学期）,葛山　康典,社学,秋学期,水５時限,教室未定,この演習では、ゼミナールIで習得した企業財務の理論をさらに深く理解するこ......,1800001294012026180000129418
2026,GSSC401S,ゼミナールIII（労働研究／秋学期）,篠田　徹,社学,秋学期,水２時限,教室未定,This seminar provides an intensive researchenvironment for students contin......,1800001314012026180000131418
2026,ARSB491S,ゼミナールIII（中国研究／秋学期）,劉　傑,社学,秋学期,火４時限,教室未定,「強国」構想を進めている中国は、第二次世界大戦後に形成された国際秩序に変......,1800001324012026180000132418
2026,ECNA461S,ゼミナールIII（環境及び資源経済学研究／秋学期）,赤尾　健一,社学,秋学期,月５時限,教室未定,テキストの輪読と各人の自由な研究報告、そしてそれらに対する全員での議論によ......,1800001332012026180000133218
2026,GSSH401S,ゼミナールIII（コミュニティ開発／秋学期）,早田　宰,社学,秋学期,火５時限,教室未定,＜ゼミナールⅡ＞ ラボ活動をおこないます。今年度は「唐津ラボ」を基本とします......,1800001334012026180000133418
2026,SOCX461S,ゼミナールIII（現代社会学研究／秋学期）,周藤　真也,社学,秋学期,水５時限,教室未定,社会学理論あるいは興味のある社会現象の中からテーマを設定して社会学的探求を......,1800001348012026180000134818
2026,CMFC481S,ゼミナールIII（異文化コミュニケーション研究／秋学期）,花光　里香,社学,秋学期,水２時限,教室未定,春学期で学んだことを更に深め、異文化に対する気づきを研ぎ澄ますと共に、身の......,1800001350012026180000135018
2026,LNGI481S,ゼミナールIII（メディアと言語の研究／秋学期）,笹原　宏之,社学,秋学期,月５時限,教室未定,マスメディアからパーソナルメディアまで、私たちは様々な媒体で、情報を交換......,1800001352012026180000135218
2026,POLX491S,ゼミナールIII（政治思想研究／秋学期）,千葉　清史,社学,秋学期,火３時限,教室未定,今年度は厚見先生がサバティカルをとられているので、代理で千葉が担当しま......,1800001362012026180000136218
2026,INTA491S,ゼミナールIII（国際関係研究／秋学期）,奥迫　元,社学,秋学期,火４時限,教室未定,ゼミナールII・IIIは、原則として、ゼミナールI最終時に各自が提示した自らの......,1800001366012026180000136618
2026,LAWB411S,ゼミナールIII（契約法研究／秋学期）,吉田　和夫,社学,秋学期,火３時限,教室未定,ゼミナールＩで学んだ民法全般の知識を前提に、主に契約にかかわる様々な法律......,1800001376012026180000137618
2026,LAWG411S,ゼミナールIII（Study of Environmental Law／秋学期）,黒川　哲志,社学,秋学期,水４時限,教室未定,This course is conducted inJapanese as well asEnglish.　教員は日本語80%英......,1800001380012026180000138018
2026,LAWE411S,ゼミナールIII（国際経済法研究／秋学期）,福永　有夏,社学,秋学期,水５時限,教室未定,3年次には、任意の国際経済法上の問題について、主体的に調査し、日本語又は英......,1800001382012026180000138218
2026,LAWG451S,ゼミナールIII（医療と法／秋学期）,横野　恵,社学,秋学期,月２時限,教室未定,終末期医療や生殖補助医療等の医療をめぐる問題が提起されるたびに、それに関......,1800001384012026180000138418
2026,ECNA401S,ゼミナールIII（Economic Analysis of the World Economy／秋学期）,弦間　正彦,社学,秋学期,月４時限,教室未定,"Dependent on the COVID-19 situation and works we do, we will occasionally ......",1800001386012026180000138618
2026,ECNA401S,ゼミナールIII（経済と環境の実証分析／秋学期）,中島　隆信,社学,秋学期,月３時限,教室未定,ゼミナールII・ゼミナールIIIでは、各自の選んだ研究テーマに従い、研究を進め......,1800001394012026180000139418
2026,ECNA491S,ゼミナールIII（情報産業の経済分析／秋学期）,土門　晃二,社学,秋学期,水４時限,教室未定,情報一般に関する入門的な本を輪読していきます。前提知識なしでも、楽しめるよ......,1800001396012026180000139618
2026,ECNE401S,ゼミナールIII（ゲーム理論とその応用／秋学期）,戸田　学,社学,秋学期,火５時限,教室未定,最近、経済学や経営学の様々な分野においてゲーム理論が応用される機会が増えて......,1800001400012026180000140018
2026,CMMM401S,ゼミナールIII（マーケティング管理研究／秋学期）,野口　智雄,社学,秋学期,金３時限,教室未定,今学期のゼミナールは、とりあえず対面を予定しています。ただし、リアルタイ......,1800001402012026180000140218
2026,MANX441S,ゼミナールIII（多国籍企業の研究／秋学期）,長谷川　信次,社学,秋学期,水４時限,教室未定,（１）春学期に引き続いて、グループごとに設定した研究課題について調査・研究......,1800001414012026180000141418
2026,CMMC401S GSSC401S,ゼミナールIII（企業財務論研究／秋学期）,葛山　康典,社学,秋学期,水５時限,教室未定,この演習では、ゼミナールIで習得した企業財務の理論をさらに深く理解するこ......,1800001416012026180000141618
2026,ACCX211S,ゼミナールI（財務会計研究／秋学期）,菅野　浩勢,社学,秋学期,金３時限,教室未定,現在、世界の会計基準は、国際会計基準審議会（IASB）が公表する国際会計基準......,1800001426012026180000142618
2026,ACCX311S,ゼミナールII（財務会計研究／秋学期）,菅野　浩勢,社学,秋学期,月３時限,教室未定,現在、世界の会計基準は、国際会計基準審議会（IASB）が公表する国際会計基準......,1800001428012026180000142818
2026,ACCX411S,ゼミナールIII（財務会計研究／秋学期）,菅野　浩勢,社学,秋学期,月３時限,教室未定,現在、世界の会計基準は、国際会計基準審議会（IASB）が公表する国際会計基準......,1800001430012026180000143018
2026,LAWC211S,ゼミナールI（刑法研究／秋学期）,仲道　祐樹,社学,秋学期,火５時限,教室未定,ゼミナールⅠでは、刑法全体のイメージをつかむとともに、報告や議論の作法に......,1800001442012026180000144218
2026,LAWC311S,ゼミナールII（刑法研究／秋学期）,仲道　祐樹,社学,秋学期,火４時限,教室未定,刑法総論・各論の重要判例について検討します（可能ならば、各自が自分のテー......,1800001444012026180000144418
